"Entry","CleanName","Family","Source","CopiedTo","Notes"
"011b5a40","DigiSummonUiShared_011b5a40","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b5a40_FUN_011b5a40.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b5a40.011b5a40.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b6020","BuildDigitalDrawMainUi","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b6020_FUN_011b6020.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawMainUi.011b6020.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b6c40","DigiSummonUiShared_011b6c40","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b6c40_FUN_011b6c40.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b6c40.011b6c40.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b6d30","HandleDigitalDrawRateInfoPacket","DigitalDraw rate-info subwindow","C:\0-NewDmo\unpacked_exe_all\functions\011b6d30_FUN_011b6d30.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\HandleDigitalDrawRateInfoPacket.011b6d30.original.c","Parses rate-info payload and forwards rows to the popup list renderer."
"011b6e50","BuildDigitalDrawRateInfoWindow","DigitalDraw rate-info subwindow","C:\0-NewDmo\unpacked_exe_all\functions\011b6e50_FUN_011b6e50.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawRateInfoWindow.011b6e50.original.c","Builds the info. de prob. popup shell, close button, title, tab and rate list area."
"011b71a0","BuildDigitalDrawRateInfoPopup","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b71a0_FUN_011b71a0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawRateInfoPopup.011b71a0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b7390","BuildDigitalDrawRateInfoScrollList","DigitalDraw rate-info subwindow","C:\0-NewDmo\unpacked_exe_all\functions\011b7390_FUN_011b7390.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawRateInfoScrollList.011b7390.original.c","Builds Rate_bg_5x5 list body and scrollbar for probability entries."
"011b7530","BuildDigitalDrawRateInfoRewardRow","DigitalDraw rate-info subwindow","C:\0-NewDmo\unpacked_exe_all\functions\011b7530_FUN_011b7530.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawRateInfoRewardRow.011b7530.original.c","Builds one probability/reward row with frame, rank icon, item text and percent."
"011b7bb0","PopulateDigitalDrawRateInfoRows","DigitalDraw rate-info subwindow","C:\0-NewDmo\unpacked_exe_all\functions\011b7bb0_FUN_011b7bb0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\PopulateDigitalDrawRateInfoRows.011b7bb0.original.c","Populates the probability popup rows from the rate-info data list."
"011b8650","BuildDigitalDrawResultActions","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b8650_FUN_011b8650.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawResultActions.011b8650.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b8e70","BuildDigitalDrawSceneUi","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b8e70_FUN_011b8e70.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawSceneUi.011b8e70.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b9df0","DigiSummonUiShared_011b9df0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b9df0_FUN_011b9df0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b9df0.011b9df0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b9e30","DigiSummonUiShared_011b9e30","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b9e30_FUN_011b9e30.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b9e30.011b9e30.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b9e90","DigiSummonUiShared_011b9e90","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b9e90_FUN_011b9e90.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b9e90.011b9e90.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011b9f70","DigiSummonUiShared_011b9f70","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011b9f70_FUN_011b9f70.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011b9f70.011b9f70.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011ba0f0","DigiSummonUiShared_011ba0f0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011ba0f0_FUN_011ba0f0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011ba0f0.011ba0f0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011ba1e0","DigiSummonUiShared_011ba1e0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011ba1e0_FUN_011ba1e0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011ba1e0.011ba1e0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011ba450","DigiSummonUiShared_011ba450","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011ba450_FUN_011ba450.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011ba450.011ba450.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011ba600","DigiSummonUiShared_011ba600","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011ba600_FUN_011ba600.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011ba600.011ba600.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011ba730","DigiSummonUiShared_011ba730","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011ba730_FUN_011ba730.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011ba730.011ba730.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011ba870","DigiSummonUiShared_011ba870","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011ba870_FUN_011ba870.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011ba870.011ba870.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011ba9b0","DigiSummonUiShared_011ba9b0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011ba9b0_FUN_011ba9b0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011ba9b0.011ba9b0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011baa40","DigiSummonUiShared_011baa40","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011baa40_FUN_011baa40.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011baa40.011baa40.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bab00","SelectDigitalDrawResultCardByRank","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bab00_FUN_011bab00.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\SelectDigitalDrawResultCardByRank.011bab00.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bac80","SelectDigitalDrawSceneBackgroundByRank","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bac80_FUN_011bac80.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\SelectDigitalDrawSceneBackgroundByRank.011bac80.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bae50","DigiSummonUiShared_011bae50","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bae50_FUN_011bae50.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011bae50.011bae50.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bb4b0","BuildDigitalDrawTicketCarousel","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bb4b0_FUN_011bb4b0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawTicketCarousel.011bb4b0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bba60","BuildDigitalDrawTitleLines","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bba60_FUN_011bba60.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawTitleLines.011bba60.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bbb20","BuildDigitalDrawTicketCard","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bbb20_FUN_011bbb20.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawTicketCard.011bbb20.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bc4e0","BuildDigitalDrawBottomActions","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bc4e0_FUN_011bc4e0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawBottomActions.011bc4e0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bc7d0","UpdateDigitalDrawTicketReadyState","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bc7d0_FUN_011bc7d0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\UpdateDigitalDrawTicketReadyState.011bc7d0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bcad0","UpdateDigitalDrawPurchaseState","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bcad0_FUN_011bcad0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\UpdateDigitalDrawPurchaseState.011bcad0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bd1e0","DigiSummonUiShared_011bd1e0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bd1e0_FUN_011bd1e0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011bd1e0.011bd1e0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bd330","DigiSummonUiShared_011bd330","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bd330_FUN_011bd330.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011bd330.011bd330.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bd3b0","DigiSummonUiShared_011bd3b0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bd3b0_FUN_011bd3b0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011bd3b0.011bd3b0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bd690","BuildDigitalDrawRankIcons","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bd690_FUN_011bd690.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawRankIcons.011bd690.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bd920","DigiSummonUiShared_011bd920","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bd920_FUN_011bd920.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011bd920.011bd920.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bdaa0","DigiSummonUiShared_011bdaa0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bdaa0_FUN_011bdaa0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011bdaa0.011bdaa0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011bdc10","BuildDigitalDrawTicketDescription","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011bdc10_FUN_011bdc10.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\BuildDigitalDrawTicketDescription.011bdc10.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"011be4e0","DigiSummonUiShared_011be4e0","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\011be4e0_FUN_011be4e0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\DigiSummonUiShared_011be4e0.011be4e0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"01287ce0","OpenDigiSummonUiEntry","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\01287ce0_FUN_01287ce0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\OpenDigiSummonUiEntry.01287ce0.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"0128f070","CreateDigiSummonUiFactoryForDigitalDraw","DigitalDrawUI reused DigiSummonUI","C:\0-NewDmo\unpacked_exe_all\functions\0128f070_FUN_0128f070.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\DigitalDrawUI\CreateDigiSummonUiFactoryForDigitalDraw.0128f070.original.c","Copied because Digital Draw uses the same Random_box/DigiSummonUI visual family."
"01682430","ReadLuckyDrawInfoRecords","LuckyDrawTable","C:\0-NewDmo\unpacked_exe_all\functions\01682430_FUN_01682430.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\LuckyDrawTable\ReadLuckyDrawInfoRecords.01682430.original.c","Reads LuckyDrawInfo records into table map."
"016827f0","DestroyLuckyDrawInfoRecordStrings","LuckyDrawTable","C:\0-NewDmo\unpacked_exe_all\functions\016827f0_FUN_016827f0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\LuckyDrawTable\DestroyLuckyDrawInfoRecordStrings.016827f0.original.c","Cleans LuckyDrawInfo record strings."
"01682880","DestroyLuckyDrawInfoTable","LuckyDrawTable","C:\0-NewDmo\unpacked_exe_all\functions\01682880_FUN_01682880.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\LuckyDrawTable\DestroyLuckyDrawInfoTable.01682880.original.c","CLuckyDrawTable destructor path."
"016828f0","RegisterLuckyDrawInfoTable","LuckyDrawTable","C:\0-NewDmo\unpacked_exe_all\functions\016828f0_FUN_016828f0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\LuckyDrawTable\RegisterLuckyDrawInfoTable.016828f0.original.c","Registers/loads DM_Luckydraw_Info-LuckyDrawInfo.bin."
"01682ab0","ParseLuckyDrawInfoTableCallback","LuckyDrawTable","C:\0-NewDmo\unpacked_exe_all\functions\01682ab0_FUN_01682ab0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\LuckyDrawTable\ParseLuckyDrawInfoTableCallback.01682ab0.original.c","Table event callback for LuckyDrawInfo."
"01682ad0","ReadLuckyDrawInfoRecordFields","LuckyDrawTable","C:\0-NewDmo\unpacked_exe_all\functions\01682ad0_FUN_01682ad0.c","C:\0-NewDmo\DigitalDrawFeature\decompiled\LuckyDrawTable\ReadLuckyDrawInfoRecordFields.01682ad0.original.c","Reads LuckyDrawInfo record fields."
