action,buff_id,icon,type,life_type,time_type,class,skill_code,digimon_skill_code,delete_on_condition,effect_file,condition_level
skipped,40725,2075,1,1,1,522,9000326,0,1,Memory_Buff_Defense_Skill,0
skipped,40726,2075,1,1,1,522,9000327,0,1,Memory_Buff_Defense_Skill,0
skipped,40727,2076,1,1,1,523,9000328,0,1,Memory_Buff_Defense_Skill,0
skipped,40728,2076,1,1,1,523,9000329,0,1,Memory_Buff_Defense_Skill,0
skipped,40729,2076,1,1,1,523,9000330,0,1,Memory_Buff_Defense_Skill,0
skipped,40730,2077,1,1,1,524,9000331,0,1,Memory_Buff_Defense_Skill,0
skipped,40731,2077,1,1,1,524,9000332,0,1,Memory_Buff_Defense_Skill,0
skipped,40732,2077,1,1,1,524,9000333,0,1,Memory_Buff_Defense_Skill,0
skipped,40733,2078,1,1,1,525,9000334,0,1,Memory_Buff_Defense_Skill,0
skipped,40734,2078,1,1,1,525,9000335,0,1,Memory_Buff_Defense_Skill,0
skipped,40735,2078,1,1,1,525,9000336,0,1,Memory_Buff_Defense_Skill,0
skipped,40736,2079,1,1,1,526,9000337,0,1,Memory_Buff_Defense_Skill,0
skipped,40737,2079,1,1,1,526,9000338,0,1,Memory_Buff_Defense_Skill,0
skipped,40738,2079,1,1,1,526,9000339,0,1,Memory_Buff_Defense_Skill,0
skipped,40739,2080,1,1,1,527,9000340,0,1,Memory_Buff_Defense_Skill,0
skipped,40740,2080,1,1,1,527,9000341,0,1,Memory_Buff_Defense_Skill,0
skipped,40741,2080,1,1,1,527,9000342,0,1,Memory_Buff_Defense_Skill,0
skipped,40742,2081,2,1,1,528,9000343,0,1,Memory_Buff_Defense_Skill,0
skipped,40743,2081,2,1,1,528,9000344,0,1,Memory_Buff_Defense_Skill,0
skipped,40744,2081,2,1,1,528,9000345,0,1,Memory_Buff_Defense_Skill,0
skipped,40900,2082,1,1,1,529,9000601,0,1,Memory_Buff_Support_Skill,0
skipped,40901,2082,1,1,1,529,9000602,0,1,Memory_Buff_Support_Skill,0
skipped,40902,2082,1,1,1,529,9000603,0,1,Memory_Buff_Support_Skill,0
skipped,40903,2083,1,1,1,530,9000604,0,1,Memory_Buff_Support_Skill,0
skipped,40904,2083,1,1,1,530,9000605,0,1,Memory_Buff_Support_Skill,0
skipped,40905,2083,1,1,1,530,9000606,0,1,Memory_Buff_Support_Skill,0
skipped,40906,2084,1,1,1,531,9000607,0,1,Memory_Buff_Support_Skill,0
skipped,40907,2084,1,1,1,531,9000608,0,1,Memory_Buff_Support_Skill,0
skipped,40908,2084,1,1,1,531,9000609,0,1,Memory_Buff_Support_Skill,0
skipped,40909,2085,1,1,1,532,9000610,0,1,Memory_Buff_Support_Skill,0
skipped,40910,2085,1,1,1,532,9000611,0,1,Memory_Buff_Support_Skill,0
skipped,40911,2085,1,1,1,532,9000612,0,1,Memory_Buff_Support_Skill,0
skipped,40912,2086,1,1,1,533,9000613,0,1,Memory_Buff_Support_Skill,0
skipped,40913,2086,1,1,1,533,9000614,0,1,Memory_Buff_Support_Skill,0
skipped,40914,2086,1,1,1,533,9000615,0,1,Memory_Buff_Support_Skill,0
skipped,40915,2087,1,1,1,534,9000616,0,1,Memory_Buff_Support_Skill,0
skipped,40916,2087,1,1,1,534,9000617,0,1,Memory_Buff_Support_Skill,0
skipped,40917,2087,1,1,1,534,9000618,0,1,Memory_Buff_Support_Skill,0
skipped,41500,2052,1,1,1,500,9100001,0,1,Memory_Buff_Attack_Skill,0
skipped,41501,2052,1,1,1,500,9100002,0,1,Memory_Buff_Attack_Skill,0
skipped,41502,2052,1,1,1,500,9100003,0,1,Memory_Buff_Attack_Skill,0
skipped,41503,2053,1,1,1,501,9100004,0,1,Memory_Buff_Attack_Skill,0
skipped,41504,2053,1,1,1,501,9100005,0,1,Memory_Buff_Attack_Skill,0
skipped,41505,2053,1,1,1,501,9100006,0,1,Memory_Buff_Attack_Skill,0
skipped,41506,2054,1,1,1,502,9100007,0,1,Memory_Buff_Attack_Skill,0
skipped,41507,2054,1,1,1,502,9100008,0,1,Memory_Buff_Attack_Skill,0
skipped,41508,2054,1,1,1,502,9100009,0,1,Memory_Buff_Attack_Skill,0
skipped,41509,2055,1,1,1,503,9100010,0,1,Memory_Buff_Attack_Skill,0
skipped,41510,2055,1,1,1,503,9100011,0,1,Memory_Buff_Attack_Skill,0
skipped,41511,2055,1,1,1,503,9100012,0,1,Memory_Buff_Attack_Skill,0
skipped,41512,2056,1,1,1,504,9100013,0,1,Memory_Buff_Attack_Skill,0
skipped,41513,2056,1,1,1,504,9100014,0,1,Memory_Buff_Attack_Skill,0
skipped,41514,2056,1,1,1,504,9100015,0,1,Memory_Buff_Attack_Skill,0
skipped,41515,2057,1,1,1,505,9100016,0,1,Memory_Buff_Attack_Skill,0
skipped,41516,2057,1,1,1,505,9100017,0,1,Memory_Buff_Attack_Skill,0
skipped,41517,2057,1,1,1,505,9100018,0,1,Memory_Buff_Attack_Skill,0
skipped,41518,2058,1,1,1,506,9100019,0,1,Memory_Buff_Attack_Skill,0
skipped,41519,2058,1,1,1,506,9100020,0,1,Memory_Buff_Attack_Skill,0
skipped,41520,2058,1,1,1,506,9100021,0,1,Memory_Buff_Attack_Skill,0
skipped,41521,2059,1,1,1,507,9100022,0,1,Memory_Buff_Attack_Skill,0
skipped,41522,2059,1,1,1,507,9100023,0,1,Memory_Buff_Attack_Skill,0
skipped,41523,2059,1,1,1,507,9100024,0,1,Memory_Buff_Attack_Skill,0
skipped,41524,2060,1,1,1,508,9100025,0,1,Memory_Buff_Attack_Skill,0
skipped,41525,2060,1,1,1,508,9100026,0,1,Memory_Buff_Attack_Skill,0
skipped,41526,2060,1,1,1,508,9100027,0,1,Memory_Buff_Attack_Skill,0
skipped,41527,2061,1,1,1,509,9100028,0,1,Memory_Buff_Attack_Skill,0
skipped,41528,2061,1,1,1,509,9100029,0,1,Memory_Buff_Attack_Skill,0
skipped,41529,2061,1,1,1,509,9100030,0,1,Memory_Buff_Attack_Skill,0
skipped,41530,2062,1,1,1,510,9100031,0,1,Memory_Buff_Attack_Skill,0
skipped,41531,2062,1,1,1,510,9100032,0,1,Memory_Buff_Attack_Skill,0
skipped,41532,2062,1,1,1,510,9100033,0,1,Memory_Buff_Attack_Skill,0
skipped,41533,2063,1,1,1,511,9100034,0,1,Memory_Buff_Attack_Skill,0
skipped,41534,2063,1,1,1,511,9100035,0,1,Memory_Buff_Attack_Skill,0
skipped,41535,2063,1,1,1,511,9100036,0,1,Memory_Buff_Attack_Skill,0
skipped,41536,2064,1,1,1,512,9100037,0,1,Memory_Buff_Attack_Skill,0
skipped,41537,2064,1,1,1,512,9100038,0,1,Memory_Buff_Attack_Skill,0
skipped,41538,2064,1,1,1,512,9100039,0,1,Memory_Buff_Attack_Skill,0
skipped,41539,2065,1,1,1,513,9100040,0,1,Memory_Buff_Attack_Skill,0
skipped,41540,2065,1,1,1,513,9100041,0,1,Memory_Buff_Attack_Skill,0
skipped,41541,2065,1,1,1,513,9100042,0,1,Memory_Buff_Attack_Skill,0
skipped,41542,2052,1,1,1,500,9100046,0,1,Memory_Buff_Attack_Skill,0
skipped,41543,2053,1,1,1,501,9100047,0,1,Memory_Buff_Attack_Skill,0
skipped,41544,2054,1,1,1,502,9100048,0,1,Memory_Buff_Attack_Skill,0
skipped,41545,2055,1,1,1,503,9100049,0,1,Memory_Buff_Attack_Skill,0
skipped,41546,2056,1,1,1,504,9100050,0,1,Memory_Buff_Attack_Skill,0
skipped,41547,2057,1,1,1,505,9100051,0,1,Memory_Buff_Attack_Skill,0
skipped,41548,2058,1,1,1,506,9100052,0,1,Memory_Buff_Attack_Skill,0
skipped,41549,2059,1,1,1,507,9100053,0,1,Memory_Buff_Attack_Skill,0
skipped,41550,2060,1,1,1,508,9100054,0,1,Memory_Buff_Attack_Skill,0
skipped,41551,2061,1,1,1,509,9100055,0,1,Memory_Buff_Attack_Skill,0
skipped,41552,2062,1,1,1,510,9100056,0,1,Memory_Buff_Attack_Skill,0
skipped,41553,2063,1,1,1,511,9100057,0,1,Memory_Buff_Attack_Skill,0
skipped,41554,2064,1,1,1,512,9100058,0,1,Memory_Buff_Attack_Skill,0
skipped,41555,2065,1,1,1,513,9100059,0,1,Memory_Buff_Attack_Skill,0
skipped,41700,2067,1,1,1,514,9100301,0,1,Memory_Buff_Defense_Skill,0
skipped,41701,2067,1,1,1,514,9100302,0,1,Memory_Buff_Defense_Skill,0
skipped,41702,2067,1,1,1,514,9100303,0,1,Memory_Buff_Defense_Skill,0
skipped,41703,2068,1,1,1,515,9100304,0,1,Memory_Buff_Defense_Skill,0
skipped,41704,2068,1,1,1,515,9100305,0,1,Memory_Buff_Defense_Skill,0
skipped,41705,2068,1,1,1,515,9100306,0,1,Memory_Buff_Defense_Skill,0
skipped,41706,2069,1,1,1,516,9100307,0,1,Memory_Buff_Defense_Skill,0
skipped,41707,2069,1,1,1,516,9100308,0,1,Memory_Buff_Defense_Skill,0
skipped,41708,2069,1,1,1,516,9100309,0,1,Memory_Buff_Defense_Skill,0
skipped,41709,2070,1,1,1,517,9100310,0,1,Memory_Buff_Defense_Skill,0
skipped,41710,2070,1,1,1,517,9100311,0,1,Memory_Buff_Defense_Skill,0
skipped,41711,2070,1,1,1,517,9100312,0,1,Memory_Buff_Defense_Skill,0
skipped,41712,2071,1,1,1,518,9100313,0,1,Memory_Buff_Defense_Skill,0
skipped,41713,2071,1,1,1,518,9100314,0,1,Memory_Buff_Defense_Skill,0
skipped,41714,2071,1,1,1,518,9100315,0,1,Memory_Buff_Defense_Skill,0
skipped,41715,2072,1,1,1,519,9100316,0,1,Memory_Buff_Defense_Skill,0
skipped,41716,2072,1,1,1,519,9100317,0,1,Memory_Buff_Defense_Skill,0
skipped,41717,2072,1,1,1,519,9100318,0,1,Memory_Buff_Defense_Skill,0
skipped,41718,2073,1,1,1,520,9100319,0,1,Memory_Buff_Defense_Skill,0
skipped,41719,2073,1,1,1,520,9100320,0,1,Memory_Buff_Defense_Skill,0
skipped,41720,2073,1,1,1,520,9100321,0,1,Memory_Buff_Defense_Skill,0
skipped,41721,2074,1,1,1,521,9100322,0,1,Memory_Buff_Defense_Skill,0
skipped,41722,2074,1,1,1,521,9100323,0,1,Memory_Buff_Defense_Skill,0
skipped,41723,2074,1,1,1,521,9100324,0,1,Memory_Buff_Defense_Skill,0
skipped,41724,2075,1,1,1,522,9100325,0,1,Memory_Buff_Defense_Skill,0
skipped,41725,2075,1,1,1,522,9100326,0,1,Memory_Buff_Defense_Skill,0
skipped,41726,2075,1,1,1,522,9100327,0,1,Memory_Buff_Defense_Skill,0
skipped,41727,2076,1,1,1,523,9100328,0,1,Memory_Buff_Defense_Skill,0
skipped,41728,2076,1,1,1,523,9100329,0,1,Memory_Buff_Defense_Skill,0
skipped,41729,2076,1,1,1,523,9100330,0,1,Memory_Buff_Defense_Skill,0
skipped,41730,2077,1,1,1,524,9100331,0,1,Memory_Buff_Defense_Skill,0
skipped,41731,2077,1,1,1,524,9100332,0,1,Memory_Buff_Defense_Skill,0
skipped,41732,2077,1,1,1,524,9100333,0,1,Memory_Buff_Defense_Skill,0
skipped,41733,2078,1,1,1,525,9100334,0,1,Memory_Buff_Defense_Skill,0
skipped,41734,2078,1,1,1,525,9100335,0,1,Memory_Buff_Defense_Skill,0
skipped,41735,2078,1,1,1,525,9100336,0,1,Memory_Buff_Defense_Skill,0
skipped,41736,2079,1,1,1,526,9100337,0,1,Memory_Buff_Defense_Skill,0
skipped,41737,2079,1,1,1,526,9100338,0,1,Memory_Buff_Defense_Skill,0
skipped,41738,2079,1,1,1,526,9100339,0,1,Memory_Buff_Defense_Skill,0
skipped,41739,2080,1,1,1,527,9100340,0,1,Memory_Buff_Defense_Skill,0
skipped,41740,2080,1,1,1,527,9100341,0,1,Memory_Buff_Defense_Skill,0
skipped,41741,2080,1,1,1,527,9100342,0,1,Memory_Buff_Defense_Skill,0
skipped,41742,2081,2,1,1,528,9100343,0,1,Memory_Buff_Defense_Skill,0
skipped,41743,2081,2,1,1,528,9100344,0,1,Memory_Buff_Defense_Skill,0
skipped,41744,2081,2,1,1,528,9100345,0,1,Memory_Buff_Defense_Skill,0
skipped,41745,2067,1,1,1,514,9100346,0,1,Memory_Buff_Defense_Skill,0
skipped,41746,2068,1,1,1,515,9100347,0,1,Memory_Buff_Defense_Skill,0
skipped,41747,2069,1,1,1,516,9100348,0,1,Memory_Buff_Defense_Skill,0
skipped,41748,2070,1,1,1,517,9100349,0,1,Memory_Buff_Defense_Skill,0
skipped,41749,2071,1,1,1,518,9100350,0,1,Memory_Buff_Defense_Skill,0
skipped,41750,2072,1,1,1,519,9100351,0,1,Memory_Buff_Defense_Skill,0
skipped,41751,2073,1,1,1,520,9100352,0,1,Memory_Buff_Defense_Skill,0
skipped,41752,2074,1,1,1,521,9100353,0,1,Memory_Buff_Defense_Skill,0
skipped,41753,2075,1,1,1,522,9100354,0,1,Memory_Buff_Defense_Skill,0
skipped,41754,2076,1,1,1,523,9100355,0,1,Memory_Buff_Defense_Skill,0
skipped,41755,2077,1,1,1,524,9100356,0,1,Memory_Buff_Defense_Skill,0
skipped,41756,2078,1,1,1,525,9100357,0,1,Memory_Buff_Defense_Skill,0
skipped,41757,2079,1,1,1,526,9100358,0,1,Memory_Buff_Defense_Skill,0
skipped,41758,2080,1,1,1,527,9100359,0,1,Memory_Buff_Defense_Skill,0
skipped,41759,2081,2,1,1,528,9100360,0,1,Memory_Buff_Defense_Skill,0
skipped,41900,2082,1,1,1,529,9100601,0,1,Memory_Buff_Support_Skill,0
skipped,41901,2082,1,1,1,529,9100602,0,1,Memory_Buff_Support_Skill,0
skipped,41902,2082,1,1,1,529,9100603,0,1,Memory_Buff_Support_Skill,0
skipped,41903,2083,1,1,1,530,9100604,0,1,Memory_Buff_Support_Skill,0
skipped,41904,2083,1,1,1,530,9100605,0,1,Memory_Buff_Support_Skill,0
skipped,41905,2083,1,1,1,530,9100606,0,1,Memory_Buff_Support_Skill,0
skipped,41906,2084,1,1,1,531,9100607,0,1,Memory_Buff_Support_Skill,0
skipped,41907,2084,1,1,1,531,9100608,0,1,Memory_Buff_Support_Skill,0
skipped,41908,2084,1,1,1,531,9100609,0,1,Memory_Buff_Support_Skill,0
skipped,41909,2085,1,1,1,532,9100610,0,1,Memory_Buff_Support_Skill,0
skipped,41910,2085,1,1,1,532,9100611,0,1,Memory_Buff_Support_Skill,0
skipped,41911,2085,1,1,1,532,9100612,0,1,Memory_Buff_Support_Skill,0
skipped,41912,2086,1,1,1,533,9100613,0,1,Memory_Buff_Support_Skill,0
skipped,41913,2086,1,1,1,533,9100614,0,1,Memory_Buff_Support_Skill,0
skipped,41914,2086,1,1,1,533,9100615,0,1,Memory_Buff_Support_Skill,0
skipped,41915,2087,1,1,1,534,9100616,0,1,Memory_Buff_Support_Skill,0
skipped,41916,2087,1,1,1,534,9100617,0,1,Memory_Buff_Support_Skill,0
