"BuffId","Name","OldName"
"64442","Frostbite","Buff 64442"
"64445","Heatwave","Buff 64445"
"64448","Photosynthesis","Buff 64448"
"64449","Shadow Bind","Buff 64449"
"64481","Ruined Past","Buff 64481"
"64482","Distorted Time and Space","Buff 64482"
"64483","Fabricated World","Buff 64483"
"64502","Dragon’s Energy  ","Buff 64502"
"64503","Ancient Power  ","Buff 64503"
"64504","Taunt","Buff 64504"
"64534","Ultimate Power","Buff 64534"
"64535","Alpha Inforce","Buff 64535"
"64568","Dimension Barrier","Buff 64568"
"64569","Roar of Satan","Buff 64569"
"64572","Frozen Friendship","Buff 64572"
"64573","Crest of Friendship","Buff 64573"
"64574","Crest of Courage","Buff 64574"
"64579","Flame of Hope","Buff 64579"
"64580","Unleashed Divine Power","Buff 64580"
"64581","Divine Flame","Buff 64581"
"64592","Breath of the Demon Lord","Buff 64592"
"64593","Whisper of the Demon Lord","Buff 64593"
"64617","Status Abnormality","Buff 64617"
"64624","Heart of Unity","Buff 64624"
"64627","Corrosion","Buff 64627"
"64628","Twisted Friendship","Buff 64628"
