"Entry","OriginalFile","CopiedPath","Role","Status"
"01275e30","C:\0-NewDmo\unpacked_exe_all\functions\01275e30_FUN_01275e30.c","decompiled\StrengthenTab\BuildStrengthenResultEffect.original.c","strengthen result effect","copied"
"01276140","C:\0-NewDmo\unpacked_exe_all\functions\01276140_FUN_01276140.c","decompiled\StrengthenTab\BuildStrengthenSlotNetwork.original.c","slot network matching screenshot","copied"
"012768e0","C:\0-NewDmo\unpacked_exe_all\functions\012768e0_FUN_012768e0.c","decompiled\StrengthenTab\PlayStrengthenProcessSound.original.c","strengthen process sound","copied"
"01276a00","C:\0-NewDmo\unpacked_exe_all\functions\01276a00_FUN_01276a00.c","decompiled\StrengthenTab\ResolveStrengthenMaterialCost.original.c","strengthen material cost lookup","copied"
"01276eb0","C:\0-NewDmo\unpacked_exe_all\functions\01276eb0_FUN_01276eb0.c","decompiled\StrengthenTab\ResetStrengthenSlotTexture.original.c","strengthen slot reset","copied"
"01277870","C:\0-NewDmo\unpacked_exe_all\functions\01277870_FUN_01277870.c","decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c","strengthen result message and sound","copied"
"012787a0","C:\0-NewDmo\unpacked_exe_all\functions\012787a0_FUN_012787a0.c","decompiled\StrengthenTab\BindStrengthenButtonHandler.original.c","strengthen button handler","copied"
"012aee10","C:\0-NewDmo\unpacked_exe_all\functions\012aee10_FUN_012aee10.c","decompiled\ValidationAndPackets\HandleUpgradeErrorCode.original.c","upgrade error result text","copied"
"012af150","C:\0-NewDmo\unpacked_exe_all\functions\012af150_FUN_012af150.c","decompiled\ValidationAndPackets\HandleTransferErrorCode.original.c","transfer error result text","copied"
"012af440","C:\0-NewDmo\unpacked_exe_all\functions\012af440_FUN_012af440.c","decompiled\ValidationAndPackets\HandleRestoreErrorCode.original.c","restore error result text","copied"
"012b0060","C:\0-NewDmo\unpacked_exe_all\functions\012b0060_FUN_012b0060.c","decompiled\ValidationAndPackets\ValidateUpgradeMaxGrade.original.c","max grade validation","copied"
"012b1590","C:\0-NewDmo\unpacked_exe_all\functions\012b1590_FUN_012b1590.c","decompiled\ValidationAndPackets\ValidateTransferSourceAndGrade.original.c","transfer slot/grade validation","copied"
"012b1e10","C:\0-NewDmo\unpacked_exe_all\functions\012b1e10_FUN_012b1e10.c","decompiled\ValidationAndPackets\ResolveTransferOutputBoxAsset.original.c","transfer output box visual","copied"
"012b5c70","C:\0-NewDmo\unpacked_exe_all\functions\012b5c70_FUN_012b5c70.c","decompiled\ValidationAndPackets\ConfirmUpgradeDestroyRisk.original.c","destroy risk confirmation","copied"
"012b5fb0","C:\0-NewDmo\unpacked_exe_all\functions\012b5fb0_FUN_012b5fb0.c","decompiled\ValidationAndPackets\ValidateUpgradeMaterialsAndMoney.original.c","upgrade material and money validation","copied"
"012b6bf0","C:\0-NewDmo\unpacked_exe_all\functions\012b6bf0_FUN_012b6bf0.c","decompiled\ValidationAndPackets\ValidateRequiredItemCount.original.c","required item check","copied"
"012b7900","C:\0-NewDmo\unpacked_exe_all\functions\012b7900_FUN_012b7900.c","decompiled\ValidationAndPackets\ResolveUpgradeMoneyCost.original.c","money cost tuple helper","copied"
"012b5f30","C:\0-NewDmo\unpacked_exe_all\functions\012b5f30_FUN_012b5f30.c","decompiled\ValidationAndPackets\ResolveCurrentMoneyTuple.original.c","current money tuple helper","copied"
"015ec9e0","C:\0-NewDmo\unpacked_exe_all\functions\015ec9e0_FUN_015ec9e0.c","decompiled\Tables\LoadItemUpgradeTables.original.c","loads all DM_ItemUpgrade bins","copied"
"015eccc0","C:\0-NewDmo\unpacked_exe_all\functions\015eccc0_FUN_015eccc0.c","decompiled\Tables\LoadItemUpgradeDataTable.original.c","data table dispatcher","copied"
"015eb540","C:\0-NewDmo\unpacked_exe_all\functions\015eb540_FUN_015eb540.c","decompiled\Tables\ParseItemUpgradeDataGroups.original.c","data groups parser","copied"
"015ea9c0","C:\0-NewDmo\unpacked_exe_all\functions\015ea9c0_FUN_015ea9c0.c","decompiled\Tables\ParseItemUpgradeDataEntries.original.c","data entries parser","copied"
"015ecd40","C:\0-NewDmo\unpacked_exe_all\functions\015ecd40_FUN_015ecd40.c","decompiled\Tables\ParseItemUpgradeDataMaterialEntry.original.c","data material entry parser","copied"
"015ecca0","C:\0-NewDmo\unpacked_exe_all\functions\015ecca0_FUN_015ecca0.c","decompiled\Tables\LoadItemUpgradeEtcValueTable.original.c","etc value dispatcher","copied"
"015eacc0","C:\0-NewDmo\unpacked_exe_all\functions\015eacc0_FUN_015eacc0.c","decompiled\Tables\ParseItemUpgradeEtcValue.original.c","etc value parser","copied"
"015ecd20","C:\0-NewDmo\unpacked_exe_all\functions\015ecd20_FUN_015ecd20.c","decompiled\Tables\LoadItemUpgradeTransferTable.original.c","transfer table dispatcher","copied"
"015eb710","C:\0-NewDmo\unpacked_exe_all\functions\015eb710_FUN_015eb710.c","decompiled\Tables\ParseItemUpgradeTransferGroups.original.c","transfer groups parser","copied"
"015eb300","C:\0-NewDmo\unpacked_exe_all\functions\015eb300_FUN_015eb300.c","decompiled\Tables\ParseItemUpgradeTransferEntries.original.c","transfer entries parser","copied"
"015ed170","C:\0-NewDmo\unpacked_exe_all\functions\015ed170_FUN_015ed170.c","decompiled\Tables\ParseItemUpgradeTransferEntry.original.c","transfer entry parser","copied"
"015ecd00","C:\0-NewDmo\unpacked_exe_all\functions\015ecd00_FUN_015ecd00.c","decompiled\Tables\LoadItemUpgradeRestoreTable.original.c","restore table dispatcher","copied"
"015e9a60","C:\0-NewDmo\unpacked_exe_all\functions\015e9a60_FUN_015e9a60.c","decompiled\Tables\ParseItemUpgradeRestoreGroups.original.c","restore groups parser","copied"
"015eb0e0","C:\0-NewDmo\unpacked_exe_all\functions\015eb0e0_FUN_015eb0e0.c","decompiled\Tables\ParseItemUpgradeRestoreEntries.original.c","restore entries parser","copied"
"012b80c0","C:\0-NewDmo\unpacked_exe_all\functions\012b80c0_FUN_012b80c0.c","decompiled\Tables\ParseItemUpgradeRestoreEntry.original.c","restore entry parser","copied"
"015ecce0","C:\0-NewDmo\unpacked_exe_all\functions\015ecce0_FUN_015ecce0.c","decompiled\Tables\LoadItemUpgradeMaterialGroupTable.original.c","material group dispatcher","copied"
"015eae50","C:\0-NewDmo\unpacked_exe_all\functions\015eae50_FUN_015eae50.c","decompiled\Tables\ParseItemUpgradeMaterialGroups.original.c","material group parser","copied"
"015ec4f0","C:\0-NewDmo\unpacked_exe_all\functions\015ec4f0_FUN_015ec4f0.c","decompiled\Tables\GetItemUpgradeMaxGrade.original.c","max grade table helper","copied"
"015ec600","C:\0-NewDmo\unpacked_exe_all\functions\015ec600_FUN_015ec600.c","decompiled\Tables\FindItemUpgradeDataByGrade.original.c","upgrade data lookup","copied"
"015ec470","C:\0-NewDmo\unpacked_exe_all\functions\015ec470_FUN_015ec470.c","decompiled\Tables\ResolveItemUpgradeCostPair.original.c","cost pair helper","copied"
"015ec940","C:\0-NewDmo\unpacked_exe_all\functions\015ec940_FUN_015ec940.c","decompiled\Tables\BuildItemUpgradeMaterialList.original.c","material list helper","copied"
