"Index","Code","Type","Factor1","Factor2","TamerSeqId","DigimonSeqId","UseState","UseAreaCheck","Available"
"100","8002111","2","1","64104","901112","901321","0","0","0"
"101","8002121","4","1","64105","0","0","0","0","0"
"102","8002131","4","1","64106","0","0","0","0","0"
"103","8002211","2","1","64111","901112","901321","0","1","1"
"104","8002221","4","1","64112","0","0","0","0","0"
"105","8002231","4","1","64113","0","0","0","0","0"
"106","8002311","2","1","64114","901112","901321","0","1","1"
"107","8002321","4","1","64115","0","0","0","0","0"
"108","8002331","4","1","64116","0","0","0","0","0"
"109","8001229","4","1","64124","0","0","0","0","0"
"110","8001230","4","1","40359","0","0","0","0","0"
"111","8001231","4","1","40360","0","0","0","0","0"
"112","8001232","4","1","40361","0","0","0","1","1"
"113","8001233","4","1","40362","0","0","0","0","0"
"114","8001234","4","1","40363","0","0","0","0","0"
"115","8001235","4","1","40364","0","0","0","1","1"
"116","8001236","4","1","40365","0","0","0","0","0"
"117","8001237","4","1","40366","0","0","0","0","0"
"118","8001238","2","1","40367","0","0","0","1","1"
"119","8001239","2","1","40368","0","0","0","1","1"
"120","8001240","2","1","40369","0","0","0","1","1"
"121","8001241","2","1","40370","0","0","0","1","1"
"122","8001242","2","1","40371","0","0","0","1","1"
"123","8001243","2","1","40372","0","0","0","1","1"
