family,asset_path,asset_type,source,pack,status,notes
DigiCombine,System\DigiCombine_Gacha_Rare.wav,sound,EXE string 01ae1b50 + scene sound refs,Pack01,mapped,Rare result sound.
DigiCombine,System\DigiCombine_Gacha_Change.wav,sound,EXE string 01ae1b74 + scene sound refs,Pack01,mapped,Gacha change sound.
DigiCombine,System\DigiCombine_Gacha_Default.wav,sound,EXE string 01ae1bc0 + scene sound refs,Pack01,mapped,Default result sound.
Common,Data\Interface\Random_box\GACHA_A.nif,model,EXE string 01acf7fc,Pack01,mapped,Gacha 3D model variant.
Common,Data\Interface\Random_box\GACHA_B.nif,model,EXE string 01acf824,Pack01,mapped,Gacha 3D model variant.
Common,Data\Interface\Random_box\GACHA_C.nif,model,EXE string 01acf84c,Pack01,mapped,Gacha 3D model variant.
Common,Data\Interface\Random_box\GACHA_D.nif,model,EXE string 01acf874,Pack01,mapped,Gacha 3D model variant.
Common,Data\Interface\Random_box\GACHA_E.nif,model,EXE string 01acf89c,Pack01,mapped,Gacha 3D model variant.
Common,DigiCombine.mp3,music,EXE string 01acf7b4,Pack01,mapped,DigiCombine BGM.
Common,UnionCombine.mp3,music,EXE string 01ad2dd4,Pack01,mapped,UnionCombine BGM.
