"BoxId","PresentInAssetContainerByBoxId","ConsumeItems","ItemGroupId","RewardGroupId","Text"
"177","False","79567:1","1049","2503","Epic_slot.png"
"178","False","79567:2","1052","2040","Legend_slot.png"
"179","False","79567:2","1052","2030","Legend_slot.png"
"180","False","79567:2","1052","2041","Epic_slot.png"
"181","False","79567:2","1052","2033","Epic_slot.png"
"182","False","79567:2","1053","2031","Legend_slot.png"
"183","False","79567:2","1053","2044","Legend_slot.png"
"184","False","79567:2","1053","2034","Epic_slot.png"
"185","False","79567:2","1053","2045","Epic_slot.png"
"186","False","79568:1","1046","2051","Dukemon_Re_Slot.png"
"187","False","79567:1;79668:1","1049","2503","Epic_slot.png"
"188","False","79567:2;79668:2","1054","2040","Legend_slot.png"
"189","False","79567:2;79668:2","1054","2030","Legend_slot.png"
"190","False","79567:2;79668:2","1054","2041","Epic_slot.png"
"191","False","79567:2;79668:2","1054","2033","Epic_slot.png"
"192","False","79567:2;79668:2","1055","2031","Zeedmillenniummon_Slot.png"
"193","False","79567:2;79668:2","1055","2505","YUKI_NO_KIZUNA_Slot.png"
"194","False","79567:2;79668:2","1055","2034","Zeedmillenniummon_Slot.png"
"195","False","79567:2;79668:2","1055","2506","YUKI_NO_KIZUNA_Slot.png"
"196","False","79567:1;79668:1","1056","2027","Epic_slot.png"
"197","False","79567:2;79668:2","1057","2049","Lucemon_Satanmode_Slot.png"
"198","False","79567:2;79668:2","1057","2050","Lucemon_Satanmode_Slot.png"
"199","False","79567:2;79668:2","1057","2507","DarknessB_Slot.png"
"200","False","79567:2;79668:2","1057","2508","DarknessB_Slot.png"
"201","False","151912:1","1058","2028","Normal_slot.png"
"202","False","79567:2;79668:2","1059","2029","ShoutmonX7_Slot.png"
"203","False","79567:2;79668:2","1059","2040","OmegamonX_Slot.png"
"204","False","79567:2;79668:2","1059","2032","ShoutmonX7_Slot.png"
"205","False","79567:2;79668:2","1059","2041","OmegamonX_Slot.png"
"206","False","79567:2;79668:2","1060","2030","AlphamonOuryuken_Slot.png"
"207","False","79567:2;79668:2","1060","2040","OmegamonX_Slot.png"
"208","False","79567:2;79668:2","1060","2033","AlphamonOuryuken_Slot.png"
"209","False","79567:2;79668:2","1060","2041","OmegamonX_Slot.png"
"210","False","79567:1;79668:1","1061","2503","Omegamon-Alpha_Slot.png"
"211","False","79567:2;79668:2","1062","2031","Zeedmillenniummon_Slot.png"
"212","False","79567:2;79668:2","1062","2044","Susanoomon_Shin.png"
"213","False","79567:2;79668:2","1062","2034","Zeedmillenniummon_Slot.png"
"214","False","79567:2;79668:2","1062","2045","Susanoomon_Shin.png"
"215","False","79568:1","1063","2051","Dukemon_Re_Slot.png"
"216","False","79567:2;79668:2","1064","2505","AGUMON-COURAGE_Slot.png"
"217","False","79567:2;79668:2","1064","2049","Lucemon_Satanmode_Slot.png"
"218","False","79567:2;79668:2","1064","2506","AGUMON-COURAGE_Slot.png"
"219","False","79567:2;79668:2","1064","2050","Lucemon_Satanmode_Slot.png"
"220","False","79567:1;79668:1","1065","2027","Digivice_Slot.png"
"221","False","79567:2;79668:2","1066","2040","OmegamonX_Slot.png"
"222","False","79567:2;79668:2","1066","2507","DarknessB_Slot.png"
"223","False","79567:2;79668:2","1066","2041","OmegamonX_Slot.png"
"224","False","79567:2;79668:2","1066","2508","DarknessB_Slot.png"
"225","False","79570:1","1067","2511","Rare_slot.png"
"230","False","79567:2;79668:2","1068","2030","AlphamonOuryuken_Slot.png"
"231","False","79567:2;79668:2","1068","2031","Zeedmillenniummon_Slot.png"
"232","False","79567:2;79668:2","1068","2033","AlphamonOuryuken_Slot.png"
"233","False","79567:2;79668:2","1068","2034","Zeedmillenniummon_Slot.png"
"234","False","79567:1;79668:1","1069","2503","Omegamon-Alpha_Slot.png"
"235","False","79567:2;79668:2","1070","2044","Susanoomon_Shin.png"
"236","False","79567:2;79668:2","1070","2507","DarknessB_Slot.png"
"237","False","79567:2;79668:2","1070","2045","Susanoomon_Shin.png"
"238","False","79567:2;79668:2","1070","2508","DarknessB_Slot.png"
"239","False","79568:1","1071","2051","Dukemon_Re_Slot.png"
"240","False","79567:2;79668:2","1072","2040","OmegamonX_Slot.png"
"241","False","79567:2;79668:2","1072","2029","ShoutmonX7_Slot.png"
"242","False","79567:2;79668:2","1072","2041","OmegamonX_Slot.png"
"243","False","79567:2;79668:2","1072","2032","ShoutmonX7_Slot.png"
"244","False","79567:1;79668:1","1073","2046","Digivice_Slot.png"
"245","False","79567:2;79668:2","1074","2031","Zeedmillenniummon_Slot.png"
"246","False","79567:2;79668:2","1074","2040","OmegamonX_Slot.png"
"247","False","79567:2;79668:2","1074","2507","DarknessB_Slot.png"
"248","False","79567:2;79668:2","1074","2034","Zeedmillenniummon_Slot.png"
"249","False","79567:2;79668:2","1074","2041","OmegamonX_Slot.png"
"250","False","79567:2;79668:2","1074","2508","DarknessB_Slot.png"
"251","False","79570:1","1067","2511","Rare_slot.png"
"252","False","79567:2;79668:2","1075","2030","AlphamonOuryuken_Slot.png"
"253","False","79567:2;79668:2","1075","2044","Susanoomon_Shin.png"
"254","False","79567:2;79668:2","1075","2033","AlphamonOuryuken_Slot.png"
"255","False","79567:2;79668:2","1075","2045","Susanoomon_Shin.png"
"256","False","79567:1;79668:1","1076","2503","Omegamon-Alpha_Slot.png"
"257","False","79567:2;79668:2","1077","2031","Zeedmillenniummon_Slot.png"
"258","False","79567:2;79668:2","1077","2029","ShoutmonX7_Slot.png"
"259","False","79567:2;79668:2","1077","2034","Zeedmillenniummon_Slot.png"
"260","False","79567:2;79668:2","1077","2032","ShoutmonX7_Slot.png"
"261","False","79567:2;79668:2","1078","2040","OmegamonX_Slot.png"
"262","False","79567:2;79668:2","1078","2507","DarknessB_Slot.png"
"263","False","79567:2;79668:2","1078","2041","OmegamonX_Slot.png"
"264","False","79567:2;79668:2","1078","2508","DarknessB_Slot.png"
"265","False","79568:1","1080","2052","SAINTGALGOMON_Slot.png"
"266","False","79567:1;79668:1","1079","2027","Digivice_Slot.png"
"267","False","79567:2;79668:2","1081","2030","AlphamonOuryuken_Slot.png"
"268","False","79567:2;79668:2","1081","2029","ShoutmonX7_Slot.png"
"269","False","79567:2;79668:2","1081","2033","AlphamonOuryuken_Slot.png"
"270","False","79567:2;79668:2","1081","2032","ShoutmonX7_Slot.png"
"271","False","79567:2;79668:2","1082","2040","OmegamonX_Slot.png"
"272","False","79567:2;79668:2","1082","2044","Susanoomon_Shin.png"
"273","False","79567:2;79668:2","1082","2041","OmegamonX_Slot.png"
"274","False","79567:2;79668:2","1082","2045","Susanoomon_Shin.png"
"275","False","79567:1;79668:1","1083","2503","Omegamon-Alpha_Slot.png"
"276","False","79567:2;79668:2","1084","2031","Zeedmillenniummon_Slot.png"
"277","False","79567:2;79668:2","1084","2507","DarknessB_Slot.png"
"278","False","79567:2;79668:2","1084","2034","Zeedmillenniummon_Slot.png"
"279","False","79567:2;79668:2","1084","2508","DarknessB_Slot.png"
"280","False","79567:2;79668:2","1085","2505","AGUMON-COURAGE_Slot.png"
"281","False","79567:2;79668:2","1085","2506","AGUMON-COURAGE_Slot.png"
"282","False","79568:1","1086","2053","SAKUYAMON_Slot.png"
"283","False","79567:1;79668:1","1087","2046","Digivice_Slot.png"
"284","False","79569:1","1088","2514","Epic_Slot.png"
"285","False","79567:1;79668:1","1089","2503","Omegamon-Alpha_Slot.png"
"286","False","79569:1","1090","2515","Unique_Slot.png"
"287","False","79567:2","1091","2049","lucemon_satanmode_slot.png"
"288","False","79567:2;79668:2","1091","2507","DarknessB_Slot.png"
"289","False","79567:2","1091","2050","lucemon_satanmode_slot.png"
"290","False","79567:2;79668:2","1091","2508","DarknessB_Slot.png"
"291","False","79567:1;79668:1","1092","2027","Digivice_Slot.png"
"292","False","79567:2;79668:2","1093","2040","OmegamonX_Slot.png"
"293","False","79567:2;79668:2","1093","2029","ShoutmonX7_Slot.png"
"294","False","79567:2","1093","2041","OmegamonX_Slot.png"
"295","False","79567:2","1093","2032","ShoutmonX7_Slot.png"
"296","False","79567:1;79668:1","1094","2503","Omegamon-Alpha_Slot.png"
"297","False","79567:2;79668:2","1095","2030","AlphamonOuryuken_Slot.png"
"298","False","79567:2;79668:2","1095","2040","OmegamonX_Slot.png"
"299","False","79567:2","1095","2033","AlphamonOuryuken_Slot.png"
"300","False","79567:2","1095","2041","OmegamonX_Slot.png"
"301","False","79569:1","1096","2516","Epic_Slot.png"
"302","False","79568:1;79669:1","1097","2517","Beelzebumon-Blastmode_Slot.png"
"303","False","79567:2;79668:2","1098","2031","Zeedmillenniummon_Slot.png"
"304","False","79567:2;79668:2","1098","2049","lucemon_satanmode_slot.png"
"305","False","79567:2;79668:2","1098","2034","Zeedmillenniummon_Slot.png"
"306","False","79567:2;79668:2","1098","2050","lucemon_satanmode_slot.png"
"307","False","79567:1;79668:1","1099","2503","Omegamon-Alpha_Slot.png"
"308","False","79747:2;79748:2","1100","2512","Omegamon-Mercifulmode_Slot.png"
"309","False","79567:2;79668:2","1101","2040","OmegamonX_Slot.png"
"310","False","79567:2;79668:2","1101","2029","ShoutmonX7_Slot.png"
"311","False","79567:2;79668:2","1101","2041","OmegamonX_Slot.png"
"312","False","79567:2;79668:2","1101","2032","ShoutmonX7_Slot.png"
"313","False","79567:2;79668:2","1102","2509","GABUMON-FRIENDSHIP_Slot.png"
"314","False","79567:2;79668:2","1102","2031","Zeedmillenniummon_Slot.png"
"315","False","79567:2;79668:2","1102","2510","GABUMON-FRIENDSHIP_Slot.png"
"316","False","79567:2;79668:2","1102","2034","Zeedmillenniummon_Slot.png"
"317","False","79567:1;79668:1","1103","2046","Digivice_Slot.png"
"318","False","79568:1;79669:1","1104","2518","Belphemon_Ragemode_Slot.png"
"319","False","79747:2;79748:2","1105","2520","ShoutmonX7-SuperiorMode_Slot.png"
"322","False","79570:1;79671:1","1106","2511","Rare_slot.png"
"323","False","79569:1;79670:1","1107","2522","Unique_Slot.png"
"324","False","79567:2;79668:2","1108","2040","OmegamonX_Slot.png"
"325","False","79567:2;79668:2","1108","2041","OmegamonX_Slot.png"
"326","False","79567:2;79668:2","1108","2029","ShoutmonX7_Slot.png"
"327","False","79567:2;79668:2","1108","2032","ShoutmonX7_Slot.png"
"328","False","79567:2;79668:2","1109","2031","Zeedmillenniummon_Slot.png"
"329","False","79567:2;79668:2","1109","2049","lucemon_satanmode_slot.png"
"330","False","79567:2;79668:2","1109","2034","Zeedmillenniummon_Slot.png"
"331","False","79567:2;79668:2","1109","2050","lucemon_satanmode_slot.png"
"332","False","79567:1;79668:1","1110","2027","Digivice_Slot.png"
"333","False","79567:2;79668:2","1111","2030","AlphamonOuryuken_Slot.png"
"334","False","79567:2;79668:2","1111","2033","AlphamonOuryuken_Slot.png"
"335","False","79567:2;79668:2","1111","2040","OmegamonX_Slot.png"
"336","False","79567:2;79668:2","1111","2041","OmegamonX_Slot.png"
"337","False","79747:2;79748:2","1112","2524","Kuzuhamon-MikoMode_Slot.png"
"338","False","79567:1;79668:1","1113","2503","Omegamon-Alpha_Slot.png"
"339","False","79570:1;79671:1","1114","2525","Rare_slot.png"
"340","False","79567:2;79668:2","1115","2526","XrosUpMervamon_Slot.png"
"341","False","79567:2;79668:2","1115","2527","XrosUpMervamon_Slot.png"
"342","False","79567:2;79668:2","1115","2049","lucemon_satanmode_slot.png"
"343","False","79567:2;79668:2","1115","2050","lucemon_satanmode_slot.png"
"344","False","79567:2;79668:2","1116","2030","AlphamonOuryuken_Slot.png"
"345","False","79567:2;79668:2","1116","2033","AlphamonOuryuken_Slot.png"
"346","False","79567:2;79668:2","1116","2031","Zeedmillenniummon_Slot.png"
"347","False","79567:2;79668:2","1116","2034","Zeedmillenniummon_Slot.png"
"348","False","79567:1;79668:1","1117","2046","Digivice_Slot.png"
"349","False","79570:1;79671:1","1118","2511","Rare_slot.png"
"350","False","79569:1;79670:1","1119","2528","Epic_Slot.png"
"351","False","79569:1;79670:1","1120","2529","Epic_Slot.png"
"352","False","79568:1;79669:1","1122","2518","Belphemon_Ragemode_Slot.png"
"353","False","79568:1;79669:1","1121","2517","Beelzebumon-Blastmode_Slot.png"
"354","False","79567:2;79668:2","1123","2040","OmegamonX_Slot.png"
"355","False","79567:2;79668:2","1123","2041","OmegamonX_Slot.png"
"356","False","79567:2;79668:2","1123","2526","XrosUpMervamon_Slot.png"
"357","False","79567:2;79668:2","1123","2527","XrosUpMervamon_Slot.png"
"358","False","79747:2;79748:2","1124","2530","Dukemon_Crimsonmode_Slot.png"
"359","False","79567:2;79668:2","1125","2032","ShoutmonX7_Slot.png"
"360","False","79567:2;79668:2","1125","2029","ShoutmonX7_Slot.png"
"361","False","79567:2;79668:2","1125","2049","lucemon_satanmode_slot.png"
"362","False","79567:2;79668:2","1125","2050","lucemon_satanmode_slot.png"
"363","False","79569:1;79670:1","1126","2531","Epic_Slot.png"
"364","False","79567:2;79668:2","1127","2031","Zeedmillenniummon_Slot.png"
"365","False","79567:2;79668:2","1127","2034","Zeedmillenniummon_Slot.png"
"366","False","79567:2;79668:2","1127","2030","AlphamonOuryuken_Slot.png"
"367","False","79567:2;79668:2","1127","2033","AlphamonOuryuken_Slot.png"
"368","False","79567:1;79668:1","1128","2027","Digivice_Slot.png"
"369","False","79747:2;79748:2","1129","2512","Omegamon-Mercifulmode_Slot.png"
"370","False","79747:2;79748:2","1130","2520","ShoutmonX7-SuperiorMode_Slot.png"
"371","False","79747:2;79748:2","1131","2524","Kuzuhamon-MikoMode_Slot.png"
"372","False","79567:1;79668:1","1132","2503","Omegamon-Alpha_Slot.png"
"373","False","79569:1;79670:1","1133","2532","Epic_Slot.png"
"374","False","79747:2;79748:2","1134","2533","DarknessB_Slot_02.png"
"375","False","153290:1;153290:1","1135","2534","Legend_slot.png"
"376","False","79569:1;79670:1","1136","2534","Epic_Slot.png"
"377","False","79569:1;79670:1","1137","2535","Epic_Slot.png"
"378","False","79567:2;79668:2","1138","2040","OmegamonX_Slot.png"
"379","False","79568:1;79669:1","1139","2536","Unique_Digimon_slot.png"
"380","False","1310763:1","1140","2550","Epic_Slot.png"
"381","False","79570:1;79671:1","1141","2525","Rare_slot.png"
"382","False","1310781:1","1142","2541","Legend_slot.png"
"383","False","1310782:1","1143","2542","Unique_Slot.png"
"384","False","1310783:1","1144","2543","Epic_Slot.png"
"385","False","79747:2;79748:2","1145","2537","BLOOMLORDMON_slot.png"
"386","False","79747:2;79748:2","1146","2538","Zeedmillenniummon_Slot.png"
"387","False","79747:2;79748:2","1147","2512","Omegamon-Mercifulmode_Slot.png"
"388","False","79747:2;79748:2","1148","2520","ShoutmonX7-SuperiorMode_Slot.png"
"389","False","79747:2;79748:2","1149","2524","Kuzuhamon-MikoMode_Slot.png"
"390","False","79747:2;79748:2","1150","2530","Dukemon_Crimsonmode_Slot.png"
"391","False","79747:2;79748:2","1151","2533","DarknessB_Slot_02.png"
"392","False","1310781:1","1152","2541","Legend_slot.png"
"393","False","1310782:1","1153","2542","Unique_Slot.png"
"394","False","1310783:1","1154","2543","Epic_Slot.png"
"395","False","79747:2;79748:2","1155","2539","IMPERIALDRAMON_slot.png"
"396","False","79747:2;79748:2","1156","2545","ALPHAMON_slot.png"
"397","False","1320008:1;1320009:1","1157","2551","Legend_slot.png"
"398","False","79570:1;79671:1","1158","2547","Rare_slot.png"
"399","False","1320008:1;1320009:1","1159","2548","Legend_slot.png"
"400","False","79747:2;79748:2","1160","2549","Lucemon_slot.png"
"401","False","79747:2;79748:2","1161","2539","IMPERIALDRAMON_slot.png"
"402","False","1310763:1","1162","2546","Epic_Slot.png"
"403","False","79747:2;79748:2","1163","2552","LastEvolution_slot.png"
"404","False","79747:2;79748:2","1164","2553","LastEvolution_slot.png"
"405","False","79567:1;79668:1","1165","2505","AGUMON-COURAGE_Slot.png"
"406","False","79567:1;79668:1","1165","2509","GABUMON-FRIENDSHIP_Slot.png"
"407","False","1320008:1;1320009:1","1168","2551","Legend_slot.png"
"408","False","79567:1;79668:1","1166","2555","Legend_slot.png"
"409","False","79569:1;79670:1","1167","2556","Unique_Slot.png"
"410","False","79747:2;79748:2","1169","2557","GodDramon_slot.png"
"411","False","79747:2;79748:2","1170","2558","GodDramon_slot.png"
"412","False","79747:2;79748:2","1171","2559","Kuzuhamon-MikoMode_Slot.png"
"413","False","79747:2;79748:2","1172","2560","Omegamon-Mercifulmode_Slot.png"
"414","False","79747:2;79748:2","1173","2561","ShoutmonX7-SuperiorMode_Slot.png"
"415","False","79747:2;79748:2","1174","2562","LilithmonX_Re_slot.png"
"416","False","79747:2;79748:2","1175","2563","LilithmonX_Re_slot.png"
"417","False","79567:1;79668:1","1176","2026","Omega_ZwartD_slot.png"
"418","False","79567:1;79668:1","1177","2025","Omega_AlterB_slot.png"
"419","False","1320008:1;1320009:1","1178","2540","Legend_slot.png"
"420","False","79747:2;79748:2","1179","2564","Donedevimon_slot.png"
"421","False","79747:2;79748:2","1180","2565","Donedevimon_slot.png"
"422","False","1320008:1;1320009:1","1181","2568","Epic_Slot.png"
"423","False","155199:1","1182","2566","Legend_slot.png"
"424","False","79747:2;79748:2","1183","2552","LastEvolution_slot.png"
"425","False","79747:2;79748:2","1184","2553","LastEvolution_slot.png"
"426","False","79567:1;79668:1","1185","2571","YUKI_NO_KIZUNA_Slot.png"
"427","False","79567:1;79668:1","1185","2572","GABUMON-FRIENDSHIP_Slot.png"
"428","False","79747:2;79748:2","1186","2558","GodDramon_slot.png"
"429","False","79747:2;79748:2","1187","2569","Lucemon_slot.png"
"430","False","79747:2;79748:2","1188","2537","BLOOMLORDMON_slot.png"
"431","False","79747:2;79748:2","1189","2575","BLOOMLORDMON_slot.png"
"432","False","79747:2;79748:2","1190","2577","Abbadomon_slot.png"
"433","False","79747:2;79748:2","1191","2578","Abbadomon_slot.png"
"434","False","1320008:1;1320009:1","1192","2576","Epic_Slot.png"
"435","False","79747:2;79748:2","1193","2579","HolyDramon_slot.png"
"436","False","181264:1;181264:1","1194","2580","Susanoomon_3_slot.png"
"437","False","79747:2;79748:2","1195","2581","Abbadomon_Core_slot.png"
"438","False","79747:2;79748:2","1196","2582","Abbadomon_Core_slot.png"
"439","False","1320008:1;1320009:1","1197","2583","Legend_slot.png"
"440","False","79747:2;79748:2","1198","2584","OmegamonX_Re_slot.png"
"441","False","79747:2;79748:2","1199","2585","OmegamonX_Re_slot.png"
"442","False","181327:1;181326:1","1200","2586","RandomBox_Cute_slot.png"
"443","False","79747:2;79748:2","1201","2552","LastEvolution_slot.png"
"444","False","79747:2;79748:2","1202","2553","LastEvolution_slot.png"
