"RuntimePath","FirstFunction","FirstEntry","DataAddress","Source","PackHint"
"DigiCombine\DigiCombine_Gacha_Bg_SS.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1df0","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_SSplus.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1e70","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_SSS.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1e44","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_SSSplus.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1ec4","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_U.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1e9c","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Bg_Uplus.dds","SelectDigitalDrawSceneBackgroundByRank","011bac80","01ae1ef4","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Change.dds","BuildDigitalDrawSceneUi","011b8e70","01ae1ad4","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_A.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1b28","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_Aplus.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1c10","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_N.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1b98","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_S.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1be8","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_Splus.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1c68","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_SS.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1c3c","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_SSplus.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1cc0","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_SSS.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1c94","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_SSSplus.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1d18","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_U.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1cf0","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_End_Uplus.dds","SelectDigitalDrawResultCardByRank","011bab00","01ae1d70","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DigiCombine\DigiCombine_Gacha_Start.dds","BuildDigitalDrawSceneUi","011b8e70","01ae1a5c","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"DM_Luckydraw_Info-LuckyDrawInfo.bin","RegisterLuckyDrawInfoTable","016828f0","01a1dc40","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\bg.png","BuildDigitalDrawMainUi","011b6020","01adb0b4","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\bg_big.png","BuildDigitalDrawTicketCard","011bbb20","01adae60","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\button\arrow_l.tga","BuildDigitalDrawTicketCarousel","011bb4b0","01adae40","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\button\arrow_r.tga","BuildDigitalDrawTicketCarousel","011bb4b0","01adae20","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\button\definite_information.tga","BuildDigitalDrawTicketCard","011bbb20","01adaee8","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\button\done.tga","BuildDigitalDrawResultActions","011b8650","01adac0c","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\button\Purchase_1.tga","BuildDigitalDrawBottomActions","011bc4e0","01adaf28","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\button\Repurchase.tga","BuildDigitalDrawResultActions","011b8650","01adac48","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\button\Tap.tga","BuildDigitalDrawRateInfoPopup","011b71a0","01adaa80","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\frame.png","BuildDigitalDrawRateInfoRewardRow","011b7530","01adaaec","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\loding.png","BuildDigitalDrawTicketCard","011bbb20","01adaebc","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\over_frame.png","BuildDigitalDrawTicketCarousel","011bb4b0","01adae78","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\popup\rate_popup\rate_popup_","BuildDigitalDrawRateInfoWindow","011b6e50","01adaa58","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\Rate_bg_5x5.png","BuildDigitalDrawRateInfoScrollList","011b7390","01adab04","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"Random_box\sub_title_line.png","BuildDigitalDrawTitleLines","011bba60","01ada99c","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"SealMaster\sealmaster_bg_01.tga","DigiSummonUiShared_011a7b60","011a7b60","01ae104c","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"System\DigiCombine_Gacha_Change.wav","DigiSummonUiShared_011ba730","011ba730","01ae1b74","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"System\DigiCombine_Gacha_Default.wav","DigiSummonUiShared_011baa40","011baa40","01ae1bc0","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"System\DigiCombine_Gacha_Progress.wav","DigiSummonUiShared_011ba600","011ba600","01ae1b00","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
"System\DigiCombine_Gacha_Rare.wav","DigiSummonUiShared_011baa40","011baa40","01ae1b50","decompiled function data xref","Pack01/Data\Interface for Random_box/DigiCombine/CommonUI assets; table/bin path for DM_Luckydraw_Info"
