"Address","CleanName","Area","Reason","SourcePath","CopiedTo","Exists"
"01118720","DigimonTranscendenceHelpShared_01118720","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118720_FUN_01118720.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118720.01118720.original.c","True"
"01118930","DigimonTranscendenceHelpShared_01118930","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118930_FUN_01118930.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118930.01118930.original.c","True"
"01118a50","DigimonTranscendenceHelpShared_01118a50","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118a50_FUN_01118a50.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118a50.01118a50.original.c","True"
"01118be0","DigimonTranscendenceHelpShared_01118be0","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118be0_FUN_01118be0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118be0.01118be0.original.c","True"
"01118c40","DigimonTranscendenceHelpShared_01118c40","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118c40_FUN_01118c40.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118c40.01118c40.original.c","True"
"01118c80","DigimonTranscendenceHelpShared_01118c80","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118c80_FUN_01118c80.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118c80.01118c80.original.c","True"
"01118cd0","DigimonTranscendenceHelpShared_01118cd0","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118cd0_FUN_01118cd0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118cd0.01118cd0.original.c","True"
"01118d40","InitializeDigimonTranscendenceHelpWindow","DigimonTranscendenceHelpUI","Initializes help window content id","C:\0-NewDmo\unpacked_exe_all\functions\01118d40_FUN_01118d40.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\InitializeDigimonTranscendenceHelpWindow.01118d40.original.c","True"
"01118dd0","DigimonTranscendenceHelpShared_01118dd0","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118dd0_FUN_01118dd0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118dd0.01118dd0.original.c","True"
"01118ff0","DigimonTranscendenceHelpShared_01118ff0","DigimonTranscendenceHelpUI","Help popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01118ff0_FUN_01118ff0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\DigimonTranscendenceHelpShared_01118ff0.01118ff0.original.c","True"
"01119160","BuildDigimonTranscendenceHelpTabs","DigimonTranscendenceHelpUI","References help tab text keys","C:\0-NewDmo\unpacked_exe_all\functions\01119160_FUN_01119160.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\BuildDigimonTranscendenceHelpTabs.01119160.original.c","True"
"01119590","BuildDigimonTranscendenceHelpBodyText","DigimonTranscendenceHelpUI","References help body text keys","C:\0-NewDmo\unpacked_exe_all\functions\01119590_FUN_01119590.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonTranscendenceHelpUI\BuildDigimonTranscendenceHelpBodyText.01119590.original.c","True"
"0125d190","DigiPowerEnchantShared_0125d190","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125d190_FUN_0125d190.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125d190.0125d190.original.c","True"
"0125d660","DigiPowerEnchantShared_0125d660","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125d660_FUN_0125d660.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125d660.0125d660.original.c","True"
"0125d860","DigiPowerEnchantShared_0125d860","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125d860_FUN_0125d860.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125d860.0125d860.original.c","True"
"0125da80","DigiPowerEnchantShared_0125da80","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125da80_FUN_0125da80.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125da80.0125da80.original.c","True"
"0125dd80","DigiPowerEnchantShared_0125dd80","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125dd80_FUN_0125dd80.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125dd80.0125dd80.original.c","True"
"0125dde0","InitializeDigiPowerEnchantWindow","DigiPowerEnchantUI","Binds five top selector slots","C:\0-NewDmo\unpacked_exe_all\functions\0125dde0_FUN_0125dde0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\InitializeDigiPowerEnchantWindow.0125dde0.original.c","True"
"0125df00","DigiPowerEnchantShared_0125df00","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125df00_FUN_0125df00.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125df00.0125df00.original.c","True"
"0125e440","DigiPowerEnchantShared_0125e440","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125e440_FUN_0125e440.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125e440.0125e440.original.c","True"
"0125e4a0","DigiPowerEnchantShared_0125e4a0","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125e4a0_FUN_0125e4a0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125e4a0.0125e4a0.original.c","True"
"0125e500","DigiPowerEnchantShared_0125e500","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125e500_FUN_0125e500.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125e500.0125e500.original.c","True"
"0125e8b0","DigiPowerEnchantShared_0125e8b0","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125e8b0_FUN_0125e8b0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125e8b0.0125e8b0.original.c","True"
"0125e980","DigiPowerEnchantShared_0125e980","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125e980_FUN_0125e980.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125e980.0125e980.original.c","True"
"0125e9c0","DigiPowerEnchantShared_0125e9c0","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125e9c0_FUN_0125e9c0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125e9c0.0125e9c0.original.c","True"
"0125ea10","DigiPowerEnchantShared_0125ea10","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125ea10_FUN_0125ea10.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125ea10.0125ea10.original.c","True"
"0125ed60","DigiPowerEnchantShared_0125ed60","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125ed60_FUN_0125ed60.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125ed60.0125ed60.original.c","True"
"0125f1d0","DigiPowerEnchantShared_0125f1d0","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125f1d0_FUN_0125f1d0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125f1d0.0125f1d0.original.c","True"
"0125f450","DigiPowerEnchantShared_0125f450","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125f450_FUN_0125f450.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125f450.0125f450.original.c","True"
"0125f6e0","DigiPowerEnchantShared_0125f6e0","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125f6e0_FUN_0125f6e0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125f6e0.0125f6e0.original.c","True"
"0125f9f0","DigiPowerEnchantShared_0125f9f0","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125f9f0_FUN_0125f9f0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125f9f0.0125f9f0.original.c","True"
"0125fda0","DigiPowerEnchantShared_0125fda0","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125fda0_FUN_0125fda0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125fda0.0125fda0.original.c","True"
"0125ffe0","DigiPowerEnchantShared_0125ffe0","DigiPowerEnchantUI","Top compact selector class cluster","C:\0-NewDmo\unpacked_exe_all\functions\0125ffe0_FUN_0125ffe0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigiPowerEnchantUI\DigiPowerEnchantShared_0125ffe0.0125ffe0.original.c","True"
"01267070","EnchantOptionResultShared_01267070","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267070_FUN_01267070.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267070.01267070.original.c","True"
"01267280","EnchantOptionResultShared_01267280","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267280_FUN_01267280.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267280.01267280.original.c","True"
"01267440","EnchantOptionResultShared_01267440","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267440_FUN_01267440.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267440.01267440.original.c","True"
"012676e0","EnchantOptionResultShared_012676e0","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\012676e0_FUN_012676e0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_012676e0.012676e0.original.c","True"
"01267760","InitializeEnchantOptionResultWindow","EnchantOptionResultUI","Binds result popup slot","C:\0-NewDmo\unpacked_exe_all\functions\01267760_FUN_01267760.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\InitializeEnchantOptionResultWindow.01267760.original.c","True"
"01267810","EnchantOptionResultShared_01267810","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267810_FUN_01267810.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267810.01267810.original.c","True"
"012678d0","EnchantOptionResultShared_012678d0","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\012678d0_FUN_012678d0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_012678d0.012678d0.original.c","True"
"01267910","EnchantOptionResultShared_01267910","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267910_FUN_01267910.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267910.01267910.original.c","True"
"01267930","EnchantOptionResultShared_01267930","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267930_FUN_01267930.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267930.01267930.original.c","True"
"01267970","EnchantOptionResultShared_01267970","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267970_FUN_01267970.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267970.01267970.original.c","True"
"01267a60","EnchantOptionResultShared_01267a60","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267a60_FUN_01267a60.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267a60.01267a60.original.c","True"
"01267b20","EnchantOptionResultShared_01267b20","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267b20_FUN_01267b20.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267b20.01267b20.original.c","True"
"01267bd0","EnchantOptionResultShared_01267bd0","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267bd0_FUN_01267bd0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267bd0.01267bd0.original.c","True"
