"Classification","Value","FromEntry","FromFunction","Note"
"CoreSoundOrEffect","System\interface_person_01.wav","0125df00","FUN_0125df00","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","System\interface_person_01.wav","01267280","FUN_01267280","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","System\interface_person_01.wav","012cf2e0","FUN_012cf2e0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","System\Tactics_enchant_fail.nif","011ee3c0","FUN_011ee3c0","Direct sound/effect reference for enchant/transcend scene."
"CoreSoundOrEffect","System\transcendental.wav","0111c800","FUN_0111c800","Direct sound/effect reference for enchant/transcend scene."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Digimon_Status_Win.tga","011d2a20","FUN_011d2a20","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_AT.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_bl.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_ct.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_ev.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\Enchant_HP.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\TamerStatus_Win_03_bg.tga","011d2a20","FUN_011d2a20","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DetailInfo\zoom_in_aa.tga","011d2a20","FUN_011d2a20","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DigimonStatus_New\Digimon_Status_Enchant_01.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","DigimonStatus_New\Digimon_Status_help_btn.tga","01119160","FUN_01119160","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreStatusAndTacticsHouseUiAsset","TacticsHouse\CheckOnline.tga","011d4320","FUN_011d4320","Status/detail/top-condition UI asset used by the Digimon advance window family."
"CoreTableBin","EnchantItemInfo.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","EnchantStatInfo.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","EvoDigitama.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","TranscendCorrect.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","TranscendCorrectEx.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","TranscendMaterial.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTableBin","TranscendNeed.bin","0161e970","FUN_0161e970","Directly loaded by RegisterDigimonAdvanceTables."
"CoreTranscendenceUiAsset","Breakthrough\Breakthrough_Digimon_info_BG.tga","011f0c90","FUN_011f0c90","Breakthrough/transcendence UI asset referenced by the copied flow."
"CoreTranscendenceUiAsset","Breakthrough\Breakthrough_Main_BG.tga","011f51b0","FUN_011f51b0","Breakthrough/transcendence UI asset referenced by the copied flow."
"CoreTranscendenceUiAsset","Breakthrough\Data_Exchange_Button.tga","011f6890","FUN_011f6890","Breakthrough/transcendence UI asset referenced by the copied flow."
"CoreTranscendenceUiAsset","Data\Interface\Breakthrough\Breakthrough_Digimon_info_B.tga","011f0d50","FUN_011f0d50","Breakthrough/transcendence UI asset referenced by the copied flow."
"SharedControlAsset","Control_G\ComboBox\Combo2.tga","0125f9f0","FUN_0125f9f0","Shared UI control used by copied popup/selector classes."
"SharedControlAsset","System\Btn_Radio5.tga","01371450","FUN_01371450","Shared UI control used by copied popup/selector classes."
"SharedControlAsset","System\Ch_Close.tga","0125ed60","FUN_0125ed60","Shared UI control used by copied popup/selector classes."
"SharedControlAsset","Talk\Common_Seletbar.tga","0125f9f0","FUN_0125f9f0","Shared UI control used by copied popup/selector classes."
"SharedLevelEffect","system\LevelEffect\Blue_K07.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Blue_K08.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Blue_K09.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Pupple_K10.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Pupple_K11.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Pupple_K12.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Red_K15.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Red_K16.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Sky_K04.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Sky_K05.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Sky_K06.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
